species,Total Weight,Total Value,Total Price,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value,Total Weight,Total Value
,2022,2022,2022,2021,2021,2020,2020,2019,2019,2018,2018,2017,2017,2016,2016,2015,2015,2014,2014,2013,2013,2012,2012,2011,2011,2010,2010,2009,2009,2008,2008,2007,2007,2006,2006,2005,2005,2004,2004,2003,2003,2002,2002,2001,2001,2000,2000,1999,1999,1998,1998,1997,1997,1996,1996,1995,1995,1994,1994
American Eel,,,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,298.00,1176.00,33606.00,85426.10,34941.00,84718.57,63938.00,171709.04,65035.00,137793.87,47481.00,64542.12,48348.00,61652.88,96343.00,206223.00,126369.00,288939.00,142149.00,281276.00,197778.00,338200.00
Bullhead,13366.00,5314.20,0.40,16819.00,6232.00,13058.00,5214.45,22869.00,7991.65,21357.00,7711.87,20859.00,7591.44,28440.00,11152.22,27514.00,12219.11,36652.00,16063.35,27656.00,13571.40,49021.00,23235.03,49493.00,17720.09,59278.00,19249.57,87117.00,27475.46,87483.00,27990.97,110817.00,34569.93,158242.00,53635.00,180044.00,67811.00,191544.00,64777.19,217302.00,90114.40,267483.00,104814.68,280372.00,99348.84,324567.00,104806.21,350138.00,112278.58,347555.00,138881.16,282839.00,143553.00,298186.00,164427.00,314085.00,151891.00,297851.00,113183.00
Channel Catfish,4233.00,4240.38,1.00,3506.00,3506.00,4979.00,4979.00,2474.00,2435.02,2694.00,2632.14,1408.00,534.40,1398.00,903.57,2982.00,1491.00,2719.00,1903.30,1984.00,1179.90,4051.00,3128.58,,,751.00,375.50,957.00,476.90,2168.00,542.00,3414.00,1348.65,2691.00,613.00,2716.00,1093.00,5477.00,2355.80,6019.00,2369.67,6915.00,2317.73,10053.00,3623.75,5871.00,2349.10,7646.00,1934.60,6891.00,3184.33,4590.00,1808.00,7516.00,3335.00,5806.00,1800.00,7511.00,2629.00
Chubs,,,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Common Carp,720.00,420.76,0.58,829.00,491.35,1310.00,784.59,4617.00,776.88,5207.00,1485.32,11717.00,3661.23,6751.00,1505.01,8604.00,1107.07,5960.00,724.45,735.00,207.61,845.00,149.12,1620.00,170.13,3169.00,563.80,3274.00,504.41,4483.00,472.60,10793.00,2009.49,4860.00,1126.00,6972.00,1620.00,22652.00,4490.78,15619.00,2132.43,23332.00,3493.31,24830.00,5716.30,20110.00,3383.11,7076.00,1144.90,23487.00,4501.71,34596.00,9568.00,54667.00,16921.00,45938.00,11439.00,53378.00,6405.00
Crappie,10187.00,32593.22,3.20,7546.00,22366.52,4959.00,14505.70,10214.00,33804.83,11739.00,38262.35,12757.00,41100.26,13422.00,44542.56,14225.00,47478.95,20934.00,65853.68,25123.00,78163.31,26751.00,81690.60,26256.00,81871.36,21110.00,51152.58,22152.00,58092.21,29116.00,70682.73,31261.00,78382.67,30356.00,62877.00,26647.00,58292.00,12254.00,26904.82,16134.00,33842.66,25120.00,49472.60,21672.00,47625.31,27171.00,57975.43,35493.00,78416.11,36564.00,81928.24,32427.00,67839.00,29208.00,62274.00,26320.00,60082.00,20295.00,43634.00
Freshwater Drum,20454.00,2083.81,0.10,14329.00,1432.90,11115.00,1112.35,24247.00,2478.05,16469.00,1626.98,26386.00,2655.16,17214.00,1682.92,18762.00,1734.83,29514.00,2853.65,30363.00,2807.57,27124.00,2288.03,20730.00,1970.60,21028.00,1905.64,26466.00,2468.10,23438.00,1863.20,23298.00,2280.64,27802.00,2152.00,42087.00,3746.00,30662.00,2641.38,22757.00,1909.35,32039.00,3128.95,64010.00,9603.56,32583.00,3845.68,24940.00,2499.53,34669.00,3744.14,46119.00,6605.00,56949.00,8021.00,40313.00,5820.00,24921.00,2741.00
Lake Herring,2107.00,467.67,0.22,395.00,121.74,543.00,151.88,3384.00,1071.84,3018.00,891.44,2954.00,874.42,3714.00,1105.83,4611.00,1130.61,1842.00,413.27,2139.00,497.17,2232.00,489.72,,,,,,,,,,,,,,,,,,,,,0.00,0.00,61.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,721.00,577.00,811.00,642.00,3.00,1.00
Lake Sturgeon,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
